char,deltaup,deltadown,downtime,uptime,char_index,user
=,1.24661588669,0.111793994904,12.8933551311,13.0051560402,26,kole
4,1.2070081234,0.0676789283752,14.0326840878,14.1003701687,27,kole
5,1.26658082008,0.0595898628235,15.239675045,15.2992711067,28,kole
;,0.717071056366,0.0620441436768,15.8947021961,15.9567520618,29,kole
;,0.460942983627,0.0693850517273,16.2862591743,16.3556511402,30,kole
;,0,0.0502049922943,0,0.0502121448517,0,kole
;,0.444632053375,0.08189702034,0.36273598671,0.444638967514,1,kole
9,0.466142892838,0.0821168422699,0.746762037277,0.82888507843,2,kole
2,0.964854955673,0.077968120575,1.63365006447,1.71162295341,3,kole
=,0.636260986328,0.0840528011322,2.18585395813,2.26991796494,4,kole
d,0.499284982681,0.0694301128387,2.61571216583,2.68514800072,5,kole
i,0.929706096649,0.101964950562,3.4434530735,3.54542398453,6,kole
s,0.477297782898,0.111858844757,3.80889201164,3.92075705528,7,kole
t,0.422704935074,0.0583879947662,4.17320799828,4.23160600662,8,kole
a,0.711251974106,0.0651838779449,4.81927704811,4.88446712494,9,kole
n,0.238510847092,0.0962679386139,4.96151995659,5.05779504776,10,kole
c,1.20498800278,0.104736089706,6.06177210808,6.16651415825,11,kole
e,0.478394031525,0.0919990539551,6.44816803932,6.5401699543,12,kole
=,0.51918721199,0.13131403923,6.83604097366,6.96735906601,13,kole
c,0.691334009171,0.0556101799011,7.47176504135,7.52737998962,14,kole
o,0.269695997238,0.0990908145905,7.64236807823,7.74146604538,15,kole
m,0.417330026627,0.0676832199097,7.99201512337,8.05970716476,16,kole
m,0.446335077286,0.0765659809113,8.36178612709,8.43835711479,17,kole
o,0.717525959015,0.082083940506,8.99722695351,9.0793170929,18,kole
n,0.314224004745,0.101594924927,9.20985603333,9.31145715714,19,kole
=,0.763478040695,0.0949370861053,9.87839698792,9.97334003448,20,kole
c,0.436069965363,0.0651021003723,10.2493650913,10.3144731522,21,kole
a,0.457859039307,0.0806920528412,10.6265320778,10.7072300911,22,kole
t,0.452179193497,0.0655000209808,11.0132110119,11.0787169933,23,kole
c,0.751884937286,0.0553059577942,11.7097909451,11.7651021481,24,kole
h,0.178689002991,0.0906059741974,11.7978711128,11.8884911537,25,kole
=,1.15018391609,0.085058927536,12.8629989624,12.9480631351,26,kole
4,0.472991943359,0.0817999839783,13.2541899681,13.335996151,27,kole
5,0.417988061905,0.0708110332489,13.6013669968,13.6721849442,28,kole
;,0.813503026962,0.0694031715393,14.3454670906,14.4148759842,29,kole
;,0.433773040771,0.0708038806915,14.7084360123,14.7792460918,30,kole
;,0,0.0530569553375,0,0.0530638694763,0,kole
;,0.430979013443,0.086168050766,0.344811916351,0.430985927582,1,kole
9,0.509708881378,0.0962529182434,0.758267879486,0.854526996613,2,kole
2,0.81170296669,0.0638060569763,1.50616502762,1.56997704506,3,kole
=,0.52684211731,0.121734142303,1.91127085686,2.03301405907,4,kole
d,0.457009077072,0.0692279338837,2.29905295372,2.36828804016,5,kole
i,0.854166030884,0.0920469760895,3.06117391586,3.15322589874,6,kole
s,0.43216085434,0.100667953491,3.39266586304,3.49334001541,7,kole
t,0.394284009933,0.0707960128784,3.71615290642,3.78695893288,8,kole
a,0.658201932907,0.0751848220825,4.29917097092,4.37436199188,9,kole
n,0.228793859482,0.0916938781738,4.43627095222,4.52797198296,10,kole
c,1.28277301788,0.0866911411285,5.63235402107,5.71904993057,11,kole
e,0.407210111618,0.0750641822815,5.96449804306,6.03956985474,12,kole
=,0.50547504425,0.109215974808,6.36075901985,6.46998000145,13,kole
c,0.892599105835,0.0692269802094,7.18412995338,7.25336384773,14,kole
o,0.292325973511,0.0860521793365,7.3904030323,7.47646188736,15,kole
m,0.445888996124,0.0704798698425,7.76581096649,7.83630204201,16,kole
m,0.419009923935,0.0736689567566,8.11115384102,8.18482899666,17,kole
o,0.788846969604,0.0767879486084,8.82321405411,8.90000700951,18,kole
n,0.324559926987,0.104382038116,9.0433909893,9.14777898788,19,kole
=,0.75252199173,0.0931499004364,9.70276284218,9.7959189415,20,kole
c,0.508166074753,0.0804719924927,10.1304569244,10.2109360695,21,kole
a,0.459755897522,0.0778470039368,10.5123670101,10.5902190208,22,kole
t,0.434772014618,0.0640919208527,10.8830459118,10.9471440315,23,kole
c,0.760289907455,0.0622909069061,11.5810449123,11.6433420181,24,kole
h,0.180867910385,0.0948619842529,11.6670479774,11.7619240284,25,kole
=,1.11251711845,0.0991129875183,12.6804549694,12.7795739174,26,kole
4,0.47657084465,0.0765919685364,13.0804338455,13.1570320129,27,kole
5,0.397438049316,0.0778980255127,13.3999738693,13.4778778553,28,kole
;,0.806906938553,0.0580809116364,14.1487989426,14.2068870068,29,kole
;,0.42057299614,0.0637109279633,14.5056619644,14.5693788528,30,kole
;,0,0.0729968547821,0,0.0730030536652,0,kole
;,0.451706886292,0.103934049606,0.347773075104,0.451713085175,1,kole
9,0.547891139984,0.0847129821777,0.810950994492,0.895669937134,2,kole
2,1.03449702263,0.101561069489,1.74388599396,1.84545397758,3,kole
=,0.526561975479,0.110174894333,2.16027092934,2.27045702934,4,kole
d,0.904667854309,0.0754160881042,2.9895260334,3.06494808197,5,kole
i,0.900493144989,0.118834972382,3.77118396759,3.89002490044,6,kole
s,0.518718004227,0.107083082199,4.18281912804,4.28990793228,7,kole
t,0.443102121353,0.0641000270844,4.56182003021,4.62593007088,8,kole
a,0.705749988556,0.0651950836182,5.20237612724,5.267578125,9,kole
n,0.256181001663,0.0990869998932,5.35946893692,5.45856308937,10,kole
